Question,Answer
"40. **Deletion Purpose**: ""Does the privacy policy specify whether the vendor will delete a user's personal information when the data are no longer necessary to fulfill its intended purpose?""","partially compliant, the policy mentions that information will be deleted when no longer necessary, but it also lists several exceptions and conditions under which data may be retained."
"41. **User Deletion**: ""Does the privacy policy specify whether a user can delete all their personal and non-personal information from the vendor?""","partially compliant, the policy mentions that users can delete their WhatsApp account and that information will be deleted or de-identified within 90 days, but it also states that some information may be retained for legal reasons or operational needs."
"42. **Deletion Process (BASIC)**: ""Does the privacy policy specify whether the vendor provides a process for the school parent or eligible student to delete a student's personal information?""","partially compliant, the policy mentions a deletion process for user accounts and information but does not specifically address the deletion of a student's personal information by a school parent or eligible student."
"43. **Deletion Notice**: ""Does the privacy policy specify how long the vendor may take to delete a user's data after notice is given?""","partially compliant, The policy mentions that it takes up to 90 days to delete or de-identify WhatsApp information after the deletion process begins, but it does not specify the exact time frame for deleting a user's data after notice is given."
"44. **User Export**: ""Does the privacy policy specify whether a user can export or download their data including any user-created content on the product?""","partially compliant, the policy mentions the right to access and port information but does not explicitly state if users can export or download their data including user-created content."
"45. **Contractual Limits**: ""Does the privacy policy specify whether a third-party successor of a data transfer is contractually required to provide the same privacy compliance required of the vendor?""","partially compliant, the policy mentions the use of standard contractual clauses and other mechanisms to ensure compliance with data protection laws, but it does not explicitly state that third-party successors are contractually required to provide the same level of privacy compliance."
"46. **Verify Identity**: ""Does the privacy policy specify whether the vendor or authorized third party verifies a user's identity with personal information?""","partially compliant, the policy mentions verifying identity through methods like sending a code via SMS or calling, but it does not specify if this is done by the vendor or an authorized third party."
"47. **Security Agreement**: ""Does the privacy policy specify whether a third party with access to a user's information is contractually required to provide the same level of security protections as the vendor?""","partially compliant, the policy mentions the use of standard contractual clauses and the requirement for third-party service providers to use information in accordance with instructions and terms, but it does not explicitly state that third parties are contractually required to provide the same level of security protections as the vendor."
"48. **Reasonable Security (BASIC)**: ""Does the privacy policy specify whether reasonable security standards are used to protect the confidentiality of a user's personal information?""","partially compliant, the policy mentions end-to-end encryption and various security measures but does not explicitly state ""reasonable security standards."""
"49. **Transit Encryption (BASIC)**: ""Does the privacy policy specify whether all data in transit is encrypted?""","partially compliant, the policy mentions that personal messages and calls are end-to-end encrypted, but it does not explicitly state that all data in transit is encrypted."
"50. **Storage Encryption (BASIC)**: ""Does the privacy policy specify whether all data at rest is encrypted?""","                    partially compliant, the policy mentions end-to-end encryption for messages and media but does not explicitly state that all data at rest is encrypted."
"51. **Data Control**: ""Does the privacy policy specify whether personal information is stored outside the control of the vendor?""","partially compliant, the policy mentions that information is transferred and stored globally, including outside the European Economic Area, but it does not explicitly state whether personal information is stored outside the control of the vendor."
"52. **Breach Notice (BASIC)**: ""Does the privacy policy specify whether the vendor provides notice to affected individuals in the event of a data breach?""","partially compliant, the policy mentions working with authorities and taking steps to ensure security but does not explicitly state providing notice to affected individuals in the event of a data breach."
"53. **Security Audit**: ""Does the privacy policy specify whether the vendor's data privacy or security practices are audited to ensure compliance?""","partially compliant, the policy mentions implementing appropriate security measures and working with third-party service providers to maintain safety and integrity, but it does not explicitly state that the vendor's data privacy or security practices are audited to ensure compliance."
"54. **Data Profile (BASIC)**: ""Does the privacy policy specify whether third parties can use a student's data to create an automated profile engage in data enhancement conduct social advertising or target advertising to students parents teachers or the school?""","partially compliant, the policy mentions sharing information with third parties and using automated data processing techniques but does not explicitly address the creation of automated profiles, data enhancement, social advertising, or targeted advertising to students, parents, teachers, or the school."
"55. **Unsubscribe Marketing**: ""Does the privacy policy specify whether a user can opt out or unsubscribe from vendor or third-party marketing communications?""","partially compliant, the policy mentions the right to object to direct marketing and provides an unsubscribe link in communications, but it does not explicitly address vendor or third-party marketing communications."
"56. **School Contract**: ""Does the privacy policy specify whether the vendor provides a contract to a Local Educational Agency (LEA) or otherwise provides notice to users of additional rights?""",                    out of my scope to determine
"57. **Parental Consent (BASIC)**: ""Does the privacy policy specify whether the vendor or third party obtains verifiable parental consent before collecting or disclosing personal information?""","partially compliant, the policy mentions a minimum age requirement but does not explicitly state the process for obtaining verifiable parental consent before collecting or disclosing personal information."
"58. **Withdraw Consent**: ""Does the privacy policy specify whether the vendor responds to a parent's or guardian's request to stop collecting their child's information?""","partially compliant, the policy mentions the right to withdraw consent but does not specifically address responding to a parent's or guardian's request to stop collecting their child's information."
"59. **Privacy Badge**: ""Does the privacy policy specify whether the vendor has signed any privacy pledges or received privacy certifications?""","partially compliant, the policy mentions certifications related to the EU-U.S. Data Privacy Framework but does not specify any privacy pledges or other privacy certifications."
"60. **GDPR Jurisdiction**: ""Does the privacy policy specify whether a user's data are subject to international data transfer or jurisdiction laws such as a privacy shield or safe harbor framework?""","partially compliant, the policy mentions international data transfers and the use of mechanisms like the EU-U.S. Data Privacy Framework and Standard Contractual Clauses but does not explicitly mention Safe Harbor."
"61. **GDPR Role**: ""Does the privacy policy specify whether the vendor is a Data Controller or Data Processor and whether a Data Protection Officer (DPO) has been identified for GDPR compliance?""","partially compliant, the policy identifies a Data Protection Officer (DPO) but does not clearly specify whether the vendor is a Data Controller or Data Processor."
